# Count_Alpha
# Time (s), Counts, Avg Counts in 1 seconds
      2601,     33, 123.997
      2602,     22, 123.865
      2603,     17, 123.726
      2604,     19, 123.591
      2605,     25, 123.463
      2606,     27, 123.338
      2607,     26, 123.213
      2608,     29, 123.091
      2609,     18, 122.956
      2610,     27, 122.833
      2611,     21, 122.702
      2612,     15, 122.564
      2613,     17, 122.429
      2614,     29, 122.309
      2615,     25, 122.185
      2616,     39, 122.079
      2617,     85, 122.032
      2618,    155, 122.074
      2619,    137, 122.093
      2620,    127, 122.099
      2621,     18, 121.967
      2622,     15, 121.832
      2623,     33, 121.719
      2624,     20, 121.591
      2625,     14, 121.455
      2626,     14, 121.320
      2627,     19, 121.191
      2628,     27, 121.073
      2629,     18, 120.944
      2630,     30, 120.830
      2631,     16, 120.698
# Time (s), Counts, Avg Counts in 1 seconds
      2632,     19, 120.571
      2633,     30, 120.458
      2634,     18, 120.330
      2635,     25, 120.212
      2636,     23, 120.091
      2637,     20, 119.966
      2638,     13, 119.834
      2639,     19, 119.709
      2640,     27, 119.594
      2641,     30, 119.483
      2642,     23, 119.364
      2643,     24, 119.247
      2644,     20, 119.124
      2645,     34, 119.020
      2646,     15, 118.892
      2647,     31, 118.784
      2648,     18, 118.661
      2649,     24, 118.545
      2650,     17, 118.421
      2651,     18, 118.298
      2652,     20, 118.178
      2653,     13, 118.050
      2654,     30, 117.943
      2655,     26, 117.831
      2656,     16, 117.708
      2657,     23, 117.593
      2658,     27, 117.483
      2659,     26, 117.372
      2660,     25, 117.261
      2661,     17, 117.140
      2662,     20, 117.023
      2663,     27, 116.915
      2664,     26, 116.805
      2665,     16, 116.684
      2666,     22, 116.571
      2667,     28, 116.465
      2668,     14, 116.342
      2669,     17, 116.223
      2670,     18, 116.106
      2671,     19, 115.990
      2672,     34, 115.893
      2673,     37, 115.799
      2674,     18, 115.683
      2675,     25, 115.575
      2676,     18, 115.460
      2677,     17, 115.343
      2678,     23, 115.234
      2679,     21, 115.123
      2680,     24, 115.015
      2681,     21, 114.905
      2682,     14, 114.786
      2683,     19, 114.673
      2684,     28, 114.572
      2685,     23, 114.464
      2686,     23, 114.357
      2687,     24, 114.251
      2688,     29, 114.152
      2689,     25, 114.048
      2690,     21, 113.939
      2691,     31, 113.843
      2692,     24, 113.738
      2693,     19, 113.628
      2694,     14, 113.513
      2695,     30, 113.416
      2696,     20, 113.308
      2697,     28, 113.209
      2698,     27, 113.110
      2699,     13, 112.994
      2700,     20, 112.887
      2701,     22, 112.783
      2702,     24, 112.680
      2703,     25, 112.580
      2704,     21, 112.475
      2705,      7, 112.354
      2706,     19, 112.247
      2707,     20, 112.142
      2708,     24, 112.041
      2709,     28, 111.945
      2710,     17, 111.837
      2711,     23, 111.736
      2712,     34, 111.648
      2713,     24, 111.548
      2714,     24, 111.449
      2715,     26, 111.352
      2716,     26, 111.256
      2717,     17, 111.149
      2718,     30, 111.058
      2719,     26, 110.962
      2720,     18, 110.857
      2721,     35, 110.772
      2722,     33, 110.684
      2723,     22, 110.585
      2724,     26, 110.490
      2725,     26, 110.395
      2726,     28, 110.303
      2727,     24, 110.207
      2728,     19, 110.105
      2729,     14, 109.998
      2730,     34, 109.913
      2731,     17, 109.810
# Time (s), Counts, Avg Counts in 1 seconds
      2732,     18, 109.708
      2733,     25, 109.614
      2734,     19, 109.513
      2735,     18, 109.412
      2736,     22, 109.315
      2737,     16, 109.212
      2738,     26, 109.120
      2739,     31, 109.034
      2740,     18, 108.934
      2741,     15, 108.831
      2742,     17, 108.730
      2743,     25, 108.638
      2744,     87, 108.614
      2745,    156, 108.666
      2746,    150, 108.711
      2747,    124, 108.728
