# Count_Alpha
# Time (s), Counts, Avg Counts in 1 seconds
       465,    110, 117.877
       466,    115, 117.870
       467,    128, 117.894
       468,    111, 117.878
       469,     92, 117.816
       470,    128, 117.840
       471,    116, 117.836
       472,    123, 117.848
       473,    101, 117.808
       474,    125, 117.825
       475,    125, 117.842
       476,    121, 117.850
       477,    125, 117.866
       478,    125, 117.883
       479,    137, 117.928
       480,    114, 117.919
       481,    126, 117.937
       482,    115, 117.931
       483,    141, 117.984
       484,    129, 118.009
       485,    127, 118.030
       486,    109, 118.009
       487,    125, 118.025
       488,    127, 118.046
       489,    119, 118.048
       490,    119, 118.050
       491,    131, 118.079
       492,    115, 118.072
       493,    131, 118.102
       494,    133, 118.135
       495,    132, 118.166
       496,    109, 118.146
       497,    110, 118.128
       498,    124, 118.141
       499,    107, 118.116
       500,    101, 118.078
       501,    115, 118.071
       502,     99, 118.029
       503,    121, 118.035
       504,    110, 118.018
       505,    133, 118.051
       506,    102, 118.015
       507,    120, 118.020
       508,    111, 118.004
       509,     95, 117.954
       510,    149, 118.022
       511,    100, 117.983
       512,    108, 117.961
       513,    115, 117.955
       514,    142, 118.006
       515,    125, 118.021
       516,    105, 117.994
       517,    128, 118.015
       518,    140, 118.062
       519,     96, 118.015
       520,    125, 118.030
       521,    107, 118.006
       522,     94, 117.956
       523,    114, 117.947
       524,    107, 117.924
       525,    117, 117.922
       526,     99, 117.882
       527,    115, 117.876
       528,    111, 117.862
       529,    101, 117.827
       530,     99, 117.787
       531,    101, 117.753
       532,    120, 117.757
       533,    123, 117.768
       534,     93, 117.717
       535,    111, 117.703
       536,     99, 117.665
       537,     96, 117.620
       538,    127, 117.639
       539,    113, 117.630
       540,    122, 117.639
       541,    115, 117.633
       542,    117, 117.632
       543,    140, 117.677
       544,    111, 117.664
       545,    119, 117.667
       546,    125, 117.681
       547,    141, 117.728
       548,    107, 117.707
       549,    123, 117.717
# Time (s), Counts, Avg Counts in 1 seconds
       550,    142, 117.766
       551,     99, 117.729
       552,    118, 117.729
       553,    106, 117.706
       554,    110, 117.690
       555,    110, 117.675
       556,    132, 117.704
       557,    133, 117.734
       558,    120, 117.738
       559,     94, 117.692
       560,    127, 117.710
       561,    127, 117.728
       562,    116, 117.725
       563,    104, 117.698
       564,    126, 117.714
       565,    117, 117.713
       566,    122, 117.721
       567,    104, 117.694
       568,    104, 117.668
       569,    122, 117.676
       570,    104, 117.650
       571,    121, 117.656
       572,    143, 117.705
       573,    122, 117.713
       574,    135, 117.746
       575,    109, 117.730
       576,    117, 117.728
       577,    111, 117.715
       578,    129, 117.737
       579,    119, 117.739
       580,    104, 117.713
       581,    111, 117.701
       582,     98, 117.664
       583,    112, 117.653
       584,    104, 117.627
       585,    116, 117.624
       586,    111, 117.612
       587,    100, 117.579
       588,    111, 117.567
       589,    147, 117.622
       590,    122, 117.630
       591,    113, 117.621
       592,    102, 117.592
       593,     86, 117.534
       594,    124, 117.546
       595,    123, 117.556
       596,    128, 117.575
       597,    140, 117.616
       598,    133, 117.644
       599,    102, 117.616
       600,    107, 117.596
       601,    133, 117.624
       602,    135, 117.656
       603,    102, 117.627
       604,    124, 117.639
       605,    123, 117.649
       606,    127, 117.665
       607,    125, 117.679
       608,    122, 117.686
       609,     90, 117.637
       610,    107, 117.618
       611,    125, 117.631
       612,    133, 117.658
       613,    114, 117.652
       614,    115, 117.647
       615,     87, 117.593
       616,    112, 117.583
       617,    128, 117.601
       618,    118, 117.602
       619,    104, 117.578
       620,     95, 117.539
       621,    131, 117.562
       622,    120, 117.566
       623,    140, 117.606
       624,     96, 117.568
       625,    117, 117.567
       626,    125, 117.580
       627,    117, 117.579
       628,    113, 117.571
       629,    122, 117.579
       630,    124, 117.590
       631,    106, 117.570
       632,     89, 117.521
       633,     88, 117.470
       634,    105, 117.449
       635,    135, 117.479
       636,    124, 117.490
       637,    113, 117.482
       638,    118, 117.483
       639,    123, 117.492
       640,    126, 117.507
       641,    135, 117.536
       642,    124, 117.547
       643,    131, 117.570
       644,    134, 117.598
       645,    110, 117.585
       646,    136, 117.616
       647,     91, 117.571
       648,    137, 117.604
       649,    109, 117.589
# Time (s), Counts, Avg Counts in 1 seconds
       650,    110, 117.577
       651,    136, 117.607
       652,    126, 117.621
       653,     95, 117.584
       654,     95, 117.546
       655,    113, 117.539
       656,    126, 117.553
       657,    127, 117.568
       658,    137, 117.600
       659,    130, 117.621
       660,    132, 117.644
       661,     86, 117.592
       662,    105, 117.572
       663,     97, 117.538
       664,     99, 117.508
       665,    141, 117.546
       666,     81, 117.487
       667,    111, 117.476
       668,    132, 117.500
       669,    132, 117.523
       670,    111, 117.513
       671,    116, 117.510
       672,    122, 117.518
       673,    117, 117.517
       674,    109, 117.503
       675,    129, 117.522
       676,    107, 117.505
       677,    100, 117.477
       678,    134, 117.503
       679,    111, 117.493
       680,    117, 117.492
       681,    107, 117.475
       682,    129, 117.494
       683,    105, 117.474
       684,    114, 117.468
       685,    112, 117.460
       686,    108, 117.445
       687,    105, 117.425
       688,    104, 117.404
       689,    110, 117.393
       690,    117, 117.392
       691,    128, 117.409
       692,    120, 117.413
       693,    118, 117.414
       694,    130, 117.433
       695,    102, 117.409
       696,    116, 117.407
       697,    111, 117.397
       698,    116, 117.395
       699,    132, 117.418
       700,    122, 117.425
       701,     85, 117.375
       702,    148, 117.422
       703,    102, 117.398
       704,    156, 117.457
       705,    115, 117.453
       706,    130, 117.473
       707,    130, 117.492
       708,    124, 117.501
       709,    126, 117.514
       710,    119, 117.517
       711,    137, 117.546
       712,    143, 117.585
       713,    121, 117.590
       714,    108, 117.575
       715,    129, 117.592
       716,    134, 117.617
       717,    120, 117.621
       718,    110, 117.609
       719,     99, 117.581
       720,    137, 117.610
       721,    141, 117.645
       722,    115, 117.641
       723,    116, 117.639
       724,    108, 117.625
       725,    120, 117.628
       726,    119, 117.630
       727,    111, 117.620
       728,    119, 117.622
       729,    121, 117.627
       730,    116, 117.625
       731,     74, 117.561
       732,    102, 117.538
       733,    118, 117.539
       734,    131, 117.558
       735,    127, 117.572
       736,    107, 117.557
       737,    119, 117.559
       738,    129, 117.576
       739,    103, 117.554
       740,    108, 117.541
       741,    128, 117.556
       742,    110, 117.545
       743,    103, 117.524
       744,    124, 117.533
       745,    121, 117.538
       746,    126, 117.550
       747,     94, 117.516
       748,    115, 117.513
       749,    126, 117.525
# Time (s), Counts, Avg Counts in 1 seconds
       750,    127, 117.539
       751,    113, 117.532
       752,    117, 117.531
       753,    102, 117.509
       754,    121, 117.514
       755,    116, 117.512
       756,    133, 117.534
       757,    122, 117.540
       758,    113, 117.534
       759,    105, 117.516
       760,    112, 117.508
       761,     99, 117.482
       762,    109, 117.470
       763,    118, 117.471
       764,    125, 117.482
       765,     92, 117.446
       766,    108, 117.433
       767,    105, 117.416
       768,    122, 117.422
       769,    125, 117.433
       770,    116, 117.431
       771,    126, 117.442
       772,    108, 117.429
       773,    118, 117.430
       774,    133, 117.452
       775,    121, 117.457
       776,    142, 117.490
       777,    119, 117.492
       778,    128, 117.507
       779,    120, 117.510
       780,     96, 117.481
       781,    118, 117.482
       782,    124, 117.490
       783,    109, 117.479
       784,    104, 117.460
       785,     94, 117.429
       786,    134, 117.451
       787,    129, 117.467
       788,    110, 117.457
       789,    135, 117.480
       790,    104, 117.462
       791,    128, 117.476
       792,     97, 117.449
       793,    123, 117.456
       794,    120, 117.460
       795,    121, 117.464
       796,    105, 117.448
       797,    137, 117.474
       798,    115, 117.471
       799,    112, 117.463
       800,    130, 117.480
       801,    109, 117.469
       802,    136, 117.493
       803,    127, 117.506
       804,    115, 117.503
       805,    119, 117.505
       806,    127, 117.517
       807,    138, 117.544
       808,    127, 117.557
       809,    128, 117.570
       810,    124, 117.579
       811,    100, 117.556
       812,    108, 117.543
       813,    140, 117.573
       814,    118, 117.573
       815,    115, 117.570
       816,    109, 117.559
       817,    101, 117.537
       818,    107, 117.523
       819,    143, 117.557
       820,    134, 117.578
       821,    116, 117.576
       822,    106, 117.561
       823,    101, 117.539
       824,    137, 117.565
       825,    118, 117.565
       826,    117, 117.564
       827,    119, 117.566
       828,    124, 117.575
       829,    105, 117.558
       830,    114, 117.554
       831,    117, 117.553
       832,    119, 117.555
       833,    121, 117.559
       834,    120, 117.562
       835,    101, 117.541
       836,    117, 117.541
       837,    117, 117.540
       838,    118, 117.541
       839,    108, 117.528
       840,     94, 117.499
       841,    146, 117.535
       842,    151, 117.577
       843,    114, 117.573
       844,     99, 117.549
       845,    108, 117.537
       846,    126, 117.548
       847,    118, 117.548
       848,    106, 117.534
       849,    110, 117.524
# Time (s), Counts, Avg Counts in 1 seconds
       850,     97, 117.499
       851,    109, 117.488
       852,    137, 117.512
       853,    112, 117.506
       854,    112, 117.499
       855,    135, 117.520
       856,    122, 117.526
       857,    138, 117.551
       858,    132, 117.569
       859,    123, 117.576
       860,    119, 117.578
       861,     94, 117.549
       862,    123, 117.555
       863,    111, 117.547
       864,    122, 117.553
       865,    116, 117.551
       866,     99, 117.528
       867,    106, 117.514
       868,    109, 117.504
       869,    123, 117.510
       870,    128, 117.523
       871,    127, 117.535
       872,    145, 117.568
       873,    147, 117.604
       874,    118, 117.604
       875,    119, 117.606
       876,    113, 117.600
       877,    101, 117.580
       878,    119, 117.582
       879,    107, 117.569
       880,    113, 117.564
       881,    104, 117.548
       882,    102, 117.529
       883,    106, 117.515
       884,    103, 117.498
       885,    109, 117.487
       886,    117, 117.487
       887,    129, 117.501
       888,    155, 117.545
       889,     91, 117.514
       890,    121, 117.518
       891,     86, 117.480
       892,    107, 117.468
       893,    114, 117.464
       894,    106, 117.450
       895,    119, 117.452
       896,     90, 117.420
       897,    106, 117.406
       898,     86, 117.369
       899,    107, 117.357
       900,     99, 117.335
       901,    109, 117.325
       902,    108, 117.315
       903,    112, 117.308
       904,    142, 117.337
       905,    110, 117.329
       906,    108, 117.318
